Date,Country,Status,AQI Value
06-07-2023,Latvia,Good,21
06-07-2023,Lebanon,Moderate,92
06-07-2023,Liberia,Good,39
06-07-2023,Liechtenstein,Good,25
06-07-2023,Lithuania,Moderate,54
06-07-2023,Luxembourg,Good,33
06-07-2023,Macao,Good,38
06-07-2023,Macedonia,Good,32
06-07-2023,Madagascar,Moderate,67
06-07-2023,Malaysia,Moderate,62
06-07-2023,Malta,Moderate,56
06-07-2023,Martinique,Moderate,75
06-07-2023,Mexico,Unhealthy for Sensitive Groups,120
06-07-2023,Moldova,Good,22
06-07-2023,Monaco,Good,33
06-07-2023,Mongolia,Moderate,54
06-07-2023,Montenegro,Good,40
06-07-2023,Myanmar,Good,36
06-07-2023,Nepal,Moderate,59
06-07-2023,Netherlands,Good,38
06-07-2023,New Caledonia,Good,29
06-07-2023,New Zealand,Good,40
06-07-2023,Nigeria,Unhealthy,178
06-07-2023,Norway,Good,29
06-07-2023,Pakistan,Moderate,64
06-07-2023,Palestinian Territory,Unhealthy for Sensitive Groups,123
06-07-2023,Peru,Good,46
06-07-2023,Philippines,Good,23
06-07-2023,Poland,Moderate,55
06-07-2023,Portugal,Good,13
06-07-2023,Puerto Rico,Moderate,58
06-07-2023,Qatar,Moderate,84
06-07-2023,Reunion,Good,22
06-07-2023,Romania,Moderate,67
06-07-2023,Russia,Moderate,91
06-07-2023,San Marino,Good,47
06-07-2023,Saudi Arabia,Moderate,65
06-07-2023,Senegal,Moderate,67
06-07-2023,Serbia,Moderate,80
06-07-2023,Singapore,Good,40
06-07-2023,Slovakia,Good,42
06-07-2023,Slovenia,Good,18
06-07-2023,South Africa,Unhealthy,182
06-07-2023,South Korea,Unhealthy for Sensitive Groups,113
06-07-2023,Spain,Moderate,86
06-07-2023,Sri Lanka,Good,40
06-07-2023,Sweden,Good,32
06-07-2023,Switzerland,Good,18
06-07-2023,Taiwan,Moderate,52
06-07-2023,Tajikistan,Moderate,79
06-07-2023,Thailand,Moderate,81
06-07-2023,Togo,Moderate,55
06-07-2023,Trinidad and Tobago,Moderate,73
06-07-2023,Turkey,Unhealthy,163
06-07-2023,Turkmenistan,Moderate,68
06-07-2023,Uganda,Unhealthy for Sensitive Groups,131
06-07-2023,Ukraine,Moderate,76
06-07-2023,United Arab Emirates,Moderate,90
06-07-2023,United Kingdom of Great Britain and Northern Ireland,Good,42
06-07-2023,United States of America,Moderate,91
06-07-2023,Uzbekistan,Moderate,82
06-07-2023,Vatican,Good,42
06-07-2023,Venezuela,Good,38
06-07-2023,Vietnam,Moderate,88
06-07-2023,Zambia,Moderate,70
13-07-2023,Albania,Good,19
13-07-2023,Algeria,Moderate,75
13-07-2023,Andorra,Good,31
13-07-2023,Angola,Unhealthy,154
13-07-2023,Argentina,Good,7
13-07-2023,Armenia,Good,37
13-07-2023,Australia,Moderate,52
13-07-2023,Austria,Good,19
13-07-2023,Azerbaijan,Good,30
13-07-2023,Bahrain,Unhealthy,185
13-07-2023,Bangladesh,Moderate,99
13-07-2023,Belarus,Good,34
13-07-2023,Belgium,Good,39
13-07-2023,Belize,Good,33
13-07-2023,Bermuda,Good,27
13-07-2023,Bolivia,Moderate,91
13-07-2023,Bosnia and Herzegovina,Moderate,65
13-07-2023,Brazil,Moderate,71
13-07-2023,Brunei,Good,10
13-07-2023,Bulgaria,Good,39
